NOME;CPF;DEPENDENCIA;VALOR
Davi Luiz Melo;541.820.379-79;TITULAR;200,00
Ester Melo;368.294.051-06;FILHO(A);200,00
João Miguel Melo;083.261.794-69;PAI/MÃE;200,00
Yasmin Melo;938.045.672-74;ESPOSA;200,00
Enzo Gabriel Machado;904.781.265-49;TITULAR;200,00
Maitê Machado;507.639.218-40;MARIDO;200,00
Ian Machado;603.219.487-69;FILHO(A);200,00
Gabriel Machado;645.731.902-52;ESPOSA;200,00
Juan Cardoso;671.258.409-49;TITULAR;300,00
Sofia Cardoso;847.615.039-39;MARIDO;300,00
Esther Cardoso;936.214.705-06;MARIDO;300,00
Isabela Caldeira;269.308.157-21;TITULAR;250,00
Lorenzo Caldeira;376.418.205-90;MARIDO;250,00
Sofia Caldeira;904.671.325-34;FILHO(A);250,00
Theo Caldeira;934.058.127-04;FILHO(A);250,00
Gabriela Cunha;846.107.359-20;TITULAR;175,50
Cecília Cunha;018.394.725-88;PAI/MÃE;175,50
Vitor Hugo Siqueira;647.352.180-17;TITULAR;175,50
Fernando Siqueira;718.604.239-22;PAI/MÃE;175,50
Apollo Novais;295.103.764-34;TITULAR;200,00
Davi Lucca Novais;326.958.071-12;MARIDO;200,00
Enzo Gabriel Silva;286.941.703-96;TITULAR;150,00
Juliana Silva;791.458.320-05;FILHO(A);150,00
Nathan Silva;743.951.268-55;ESPOSA;150,00
Maria Luísa Silva;932.546.871-91;FILHO(A);150,00
Léo Campos;892.103.756-02;TITULAR;300,00
Zoe Campos;751.364.082-35;ESPOSA;300,00
Benjamim Campos;213.907.846-22;ESPOSA;300,00
Ana Julia Lopes;968.732.450-38;TITULAR;300,00
Marcela Macedo;320.796.185-12;TITULAR;150,00
Maria Luísa Macedo;467.501.928-58;FILHO(A);150,00
Raul Macedo;571.824.309-32;MARIDO;150,00
Theodoro Pereira;965.128.437-46;TITULAR;175,50
Vitor Hugo Pereira;480.671.925-02;PAI/MÃE;175,50
Danilo da Cruz;623.901.758-21;TITULAR;150,00
